amfi_code,scheme_name,fund_house,category,expense_ratio_pct,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,volatility,alpha,beta,r_squared,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,er_rank,dd_rank,fund_score,tracking_error
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,1.52,1.0136772700686927,0.3823284755344454,,0.9497958246616031,1.6197931764914093,0.24840205005242097,0.3005787817097677,0.011455159960520708,3.5329906267955625e-05,-0.3117190030063422,11.0,13.0,2.0,26.5,37.0,58.889669711876316,0.27917030841826745
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1.51,0.33050799398308683,0.27250221550933085,,1.0816591793457042,1.850132546855726,0.14148352294996655,0.21829397904608644,-0.008353832126962021,5.7917562701278335e-05,-0.17414075086657232,17.0,8.0,11.0,24.5,23.0,57.06254392129303,0.19211519250390102
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,0.92,0.45205066410377714,0.26652652911362495,,0.7757902498211205,1.3306512447571364,0.14668866752399518,0.17729754927531766,0.04882040425957739,0.0018401792783071585,-0.15200013055606393,18.0,18.0,16.0,14.0,18.0,52.21363316936051,0.19107208897596129
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,0.72,0.43677144021557357,0.27313059178354093,,0.6452074382933215,1.154475716923624,0.13997213649186155,0.15643835948169668,-0.03663900671860934,0.0011382947171084282,-0.1862974313859551,16.0,21.0,22.0,5.5,26.0,49.75404075895994,0.19344939246000745
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,0.89,0.33397114451820453,0.24368276924807475,,0.664856998549062,1.137976718780742,0.12983158874316306,0.1513635464823924,-0.001433521389780133,2.0253408972328425e-06,-0.11650624505409093,22.0,19.0,23.0,13.0,10.0,46.872803935347854,0.18307639338664936
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,1.41,0.51014875808793,0.2749659005316263,,0.6488787755249532,1.0958951614736467,0.15230516379673067,0.1625385327998104,0.04189646272811977,0.0012571178108220743,-0.1982565826298267,15.0,20.0,20.0,19.0,27.0,46.45115952213632,0.19600483949857456
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,1.42,0.07042496709122781,0.2215265750825124,,0.7979728586052847,1.3379431500669237,0.1388443751311979,0.17703302365844073,-0.0402689523698206,0.001397444608331861,-0.13897862823061635,24.0,17.0,17.0,20.0,14.0,45.88896697118763,0.19294776031543664
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,1.57,0.2760953402762638,0.2636331025232188,,0.8170993373494367,1.4357420130649492,0.1283662839786056,0.17048756803412696,-0.019486785689474526,0.00038285030730923834,-0.10859862152502323,19.0,16.0,19.0,34.0,7.0,45.748418833450444,0.18368034296960942
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1.52,0.1556558584249188,0.1949884080836728,,0.9262873467360144,1.632740977873516,0.15429144469823297,0.20873010086942337,-0.026387719943843004,0.0004859264752797316,-0.1527259422823477,25.0,15.0,14.0,26.5,19.0,43.991567111735776,0.20321345225145676
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.64,0.1896367096050482,0.39248947412695934,,0.6195175900829828,1.0887552508030016,0.15758366917912994,0.16211256794033255,0.016682689437770827,0.00018619166432850165,-0.21539827112383228,9.0,22.0,21.0,39.5,30.0,40.05621925509486,0.20221623215661824
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,0.75,0.29922825421569366,0.31152637446376086,,0.12961449795669328,0.22108683979276353,0.13983295593638856,0.08232801295222093,0.02588321244009315,0.0005692038090244872,-0.2175139637014823,14.0,29.0,28.0,8.0,31.0,39.98594518622627,0.1878998377218692
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,0.74,0.10324938895899716,0.10380984078292177,,0.4957233929533123,1.0521238822609291,0.0049391262595120155,0.06746210411099539,-0.0004440926329707234,0.00013430661440679868,-0.000977314004592568,29.0,23.0,31.0,7.0,1.0,38.7210119465917,0.1290435755950335
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,1.54,0.2887620762603085,0.24820127609710863,,0.46403744922047774,0.7621288703723166,0.14353859818510503,0.13173190226099432,-0.004050271130006534,1.322760788085046e-05,-0.14844576917771746,21.0,25.0,24.0,30.5,16.0,33.87210119465915,0.19326406331048715
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.78,0.25041977056568565,0.18604507166779416,,0.30061192104254786,0.5088128197169232,0.18352430087335778,0.11989100971217971,0.009054412621739154,4.043746553634244e-05,-0.2111727956013212,26.0,27.0,26.0,10.0,29.0,32.115249472944484,0.2235920824296721
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,0.6,0.10060186982864994,0.0961924839148085,,-0.08874729621557288,-0.1877230477424223,0.005133170487371137,0.06455677495375998,-0.00040074423947840013,0.00010125435692271723,-0.0011629327956168764,30.0,34.0,32.0,3.0,2.0,30.990864371047095,0.12904556781048557
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.59,0.2735413737960013,0.2506273043176681,,0.4942725378672349,0.8625738849916581,0.13463795800784448,0.13042924450705445,0.036356399022199795,0.0012113711061211869,-0.17573614164687285,20.0,24.0,25.0,35.0,24.0,30.709768095572727,0.18311878418576322
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,1.53,0.33983671778314006,0.11172036650057149,,0.44843400890899127,0.7460146308533572,0.2524152094634046,0.1750072167561127,0.1034966369133759,0.0027930065610663243,-0.2334488614483311,28.0,26.0,18.0,28.5,32.0,26.985242445537594,0.2772863739829558
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,0.55,0.15757060847324866,0.060737433432327625,,-0.35662950751436784,-0.6135251287271023,0.039855381553882616,0.05074772999976104,0.0012566742731558458,1.651665231033275e-05,-0.08316361763638701,34.0,38.0,35.0,1.0,6.0,22.839072382290922,0.1347582682889032
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,0.77,0.08400636057885036,0.08226728506393188,,-0.22657538662791576,-0.37676700817066683,0.039670623690338705,0.05620895216638369,-0.006413850728276477,0.00043426033217200524,-0.043287289239700974,32.0,37.0,34.0,9.0,5.0,22.698524244553738,0.13564645267040476
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,0.79,0.10085790251230242,0.08925732099045325,,-0.8155673679088263,-1.681037866751281,0.005064371352310742,0.060861457957871144,0.00026670968338238433,4.6076236771052326e-05,-0.001622498024471732,31.0,40.0,33.0,11.0,3.0,21.714687280393534,0.1289568921773665
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,0.56,0.03646354277882913,0.06756798081070547,,-0.5670947928476846,-0.9418212366054204,0.039052455281001604,0.042817920315060876,0.0011582183155281463,1.4612842041845034e-05,-0.04308263824636346,33.0,39.0,38.0,2.0,4.0,21.43359100491918,0.1345351441558559
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,1.56,0.28058266904452256,0.14875432653891751,,0.07599984804658923,0.12469346986475674,0.17894715006571874,0.0780443887615508,0.01805687420811816,0.0001691554883831436,-0.24003511326274882,27.0,30.0,29.0,33.0,33.0,16.65495432185523,0.21916937594238353
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.72,0.17711634685539024,-0.009936420009811986,,-0.05718662582817995,-0.09438726129459606,0.24950125122855862,0.048824215945539845,0.06200180438267168,0.0010259205326765965,-0.525742211701285,37.0,32.0,36.0,5.5,40.0,12.508784258608557,0.2771351379626376
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,1.64,0.04969791458881834,0.008068295070751352,,0.03078485095458594,0.05257398559304803,0.13950661341123835,0.0689952982167755,0.009730745001153637,8.082637693810774e-05,-0.14401617909337266,35.0,31.0,30.0,39.5,15.0,10.96275474349963,0.18908165842556626
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1.53,-0.3312825142110798,-0.03884484935337307,,0.16266076928646772,0.27664379626092334,0.2579732221707774,0.10897091901704538,-0.06528924788351524,0.0010641052735572622,-0.3544691649336603,39.0,28.0,27.0,28.5,38.0,9.557273366127887,0.2921174251929163
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,1.38,-0.584260024048471,-0.15631200024285752,,-0.0759735711747892,-0.12818559275851926,0.2506658023260044,0.048015953637759554,-0.066951174639292,0.0011851593464486715,-0.5167775370852657,40.0,33.0,37.0,17.0,39.0,4.146170063246643,0.2857813336985091
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,1.55,-0.04755216315631783,-0.0004583816741241531,,-0.20151706755966936,-0.3510474601523089,0.14548134802183876,0.03747580763443281,-0.0582684314388089,0.002665032698133324,-0.247344408806733,36.0,35.0,39.0,32.0,34.0,0.070274068868585,0.19928360293890288
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.51,-0.1858566506724595,-0.02644664942661379,,-0.20583160785470309,-0.34722230254727265,0.18134576297311303,0.028969397866379445,-0.04212502902189432,0.0008964294600687582,-0.2800112356639287,38.0,36.0,40.0,24.5,35.0,0.0,0.22560814215136638
